一级分类,二级分类,三级分类,日文/英文名称,学术定位,说明/备注,代购场景备注
衍生周边,谷子-实用展示类,贴纸/胶带,Sticker / Washi Tape,Secondary Goods / Merchandise,手账文化延伸，咕卡/咕盘配套消费,日亚
衍生周边,谷子-服装包袋类,痛衣/痛T,Full Graphic T-shirt,Secondary Goods / Merchandise,全身印花T恤/外套，直接把角色穿在身上,日亚
衍生周边,谷子-杂货,杂货,Character Small Goods,Secondary Goods / Merchandise,有角色、但不好归到徽章/纸片/挂件/立牌的小物（如キャラドロップ）。,日亚/煤炉/骏河屋
衍生周边,卡牌,TCG对战卡,Trading Card Game,Secondary Goods / Game Object,宝可梦/游戏王/万智牌/WS；有对战规则；中古卡牌在骏河屋极多,骏河屋/煤炉
衍生周边,卡牌,收藏卡,Collectible Card,Secondary Goods / Merchandise,无对战规则，纯收藏：食玩卡/威化卡/透卡,日亚/煤炉
衍生周边,卡牌,评级卡,Graded Card (PSA/BGS),Secondary Goods / Investment Object,送PSA/BGS封装评级；投资属性强；煤炉高价值单品,煤炉
衍生周边,毛绒藏品,小型毛绒,Small Plush (<20cm),Secondary Goods / Merchandise,团子/趴趴/努努等，可参与谷子摆阵,日亚/煤炉
衍生周边,毛绒藏品,中型毛绒/坐姿娃,Medium Plush (20-40cm),Secondary Goods / Collectible,坐姿玩偶，桌面陈列；部分粉丝称'娃'不称'谷',日亚/煤炉
衍生周边,毛绒藏品,大型毛绒/等身抱枕,Large Plush / Dakimakura,Secondary Goods / Collectible,50cm+大毛绒或等身抱枕；抱枕套可单买,日亚/煤炉
衍生周边,毛绒藏品,fufu,Hatsune Miku Fuwa Fuwa,Secondary Goods / Collectible,初音未来大型毛绒特称，世嘉出品；煤炉热门,煤炉/日亚
衍生周边,手办/模型,景品,Prize Figure,Secondary Goods / Collectible,抓娃娃机/抽奖奖品，100-300元；煤炉中古量大,煤炉/骏河屋
衍生周边,手办/模型,比例手办,Scale Figure,Secondary Goods / Collectible,1/7/1/8固定比例，精细涂装，500-2000+元,日亚/煤炉
衍生周边,手办/模型,粘土人,Nendoroid,Secondary Goods / Collectible,Q版可换脸换手，GSC招牌，约300-500元,日亚/煤炉
衍生周边,手办/模型,可动模型,Figma / SHF,Secondary Goods / Collectible,关节可动，适合摆pose，偏写实比例,日亚/煤炉
衍生周边,手办/模型,拼装模型,Plastic Model / Plamo,Secondary Goods / Collectible,需剪件打磨上色，如高达/机娘,日亚/煤炉
衍生周边,手办/模型,盒蛋,Trading Figure,Secondary Goods / Merchandise,小型盲盒手办，整套发售，隐藏款机制,日亚
衍生周边,手办/模型,扭蛋,Gashapon / ガチャガチャ,Secondary Goods / Merchandise,投币机获取的小型挂件/立牌/橡胶；煤炉常搜'ガチャ',煤炉/日亚
衍生周边,实用型周边,餐饮器具,Tableware,Secondary Goods / Lifestyle Merchandise,马克杯/餐具，餐饮联动最常见品类,日亚
衍生周边,实用型周边,伞,Umbrella,Secondary Goods / Lifestyle Merchandise,痛伞（透明/印花），展示+实用,日亚
衍生周边,实用型周边,桌垫/鼠标垫,Desk Mat / Rubber Mat,Secondary Goods / Lifestyle Merchandise,大桌垫，角色全身印刷，办公/游戏场景,日亚
衍生周边,实用型周边,3C配件,Phone/PC Case,Secondary Goods / Lifestyle Merchandise,耳机壳/手机壳/充电宝壳/联名耳机/键盘,日亚
衍生周边,实用型周边,居家纺织品,Blanket / Cushion,Secondary Goods / Lifestyle Merchandise,毛毯/空调毯/方形抱枕（非等身）,日亚
衍生周边,实用型周边,手作,ハンドメイド / Handmade,Secondary Goods / Lifestyle Merchandise,娃衣、布料、手作饰品、手工衣服；煤炉常搜ハンドメイド。,煤炉/日亚
衍生周边,实用型周边,角色道具,Henshin Belt / Role Item,Secondary Goods / Merchandise,变身腰带、变身器、武器道具；假面骑士/光之美少女常见。,日亚
衍生周边,实用型周边,周边套装,Goods Set,Secondary Goods / Merchandise,生日/情人节等混合周边一套卖，单件品类不统一。,booth/日亚
衍生周边,实用型周边,毛巾/浴巾,Towel / Bath Towel,Secondary Goods / Lifestyle Merchandise,运动毛巾（演唱会应援）、面巾、浴巾,日亚/煤炉
衍生周边,实用型周边,文具,Stationery,Secondary Goods / Lifestyle Merchandise,笔/笔记本/修正带/笔袋；日本文具品牌联名,日亚
衍生周边,实用型周边,日历/年历/手账,Calendar / Schedule Book,Secondary Goods / Lifestyle Merchandise,每年Q4（10-12月）代购高峰；挂历/台历/日程本,日亚/蜜瓜
衍生周边,实用型周边,宠物用品,Pet Goods,Secondary Goods / Lifestyle Merchandise,宠物服/项圈/食盆；近年增长快,日亚
衍生周边,实用型周边,食品（限定联动）,Collaboration Food,Secondary Goods / Lifestyle Merchandise,联动巧克力/饼干/饮料；保质期短、难运,日亚/便利店
衍生周边,印刷出版物,画集/原画集,Artbook,Secondary Goods / Collectible,动画/游戏官方设定画集，高单价收藏,日亚/煤炉
衍生周边,印刷出版物,公式书/设定集,Fanbook / Setting Guide,Secondary Goods / Collectible,世界观/角色设定资料，硬核粉丝向,日亚/煤炉
衍生周边,印刷出版物,音乐CD/OST,Character Song / OST,Secondary Goods / Collectible,角色歌/原声音乐；Y世代实体CD收藏残余,日亚/煤炉
衍生周边,印刷出版物,DRAMA CD/广播剧CD,Drama CD,Secondary Goods / Collectible,有声叙事内容；BL/乙女向尤其多；区别于OST,蜜瓜/日亚/煤炉
衍生周边,声优/偶像周边,生写真,Cheki / 生写真,Secondary Goods / Collectible,真人照片；区别于动漫相卡；演唱会/见面会限定,煤炉/日亚
衍生周边,声优/偶像周边,演唱会/见面会周边,Live Event Goods,Secondary Goods / Merchandise,荧光棒(call棒)/场刊/应援毛巾/扇子/手环,煤炉/日亚
衍生周边,声优/偶像周边,签名/直笔/色纸直笔,Autograph / Shikishi,Secondary Goods / Investment Object,声优签名/画师签名；高价值；煤炉常见'直筆',煤炉
衍生周边,声优/偶像周边,门票/活动券,Ticket / 抽選券,Secondary Goods / Access Right,演唱会/见面会/展览入场券；二手交易,煤炉
衍生周边,时尚联名,联名日常服装,Collaboration Apparel,Secondary Goods / Lifestyle Merchandise,优衣库UT/GU联名/しまむら；可日常穿的联名款,日亚
衍生周边,时尚联名,联名鞋/包,Collaboration Shoes / Bag,Secondary Goods / Lifestyle Merchandise,运动鞋/手提包/钱包；时尚品牌联名,日亚
衍生周边,时尚联名,联名配饰,Collaboration Accessories,Secondary Goods / Lifestyle Merchandise,手表/项链/戒指/眼镜框,日亚
衍生周边,时尚联名,联名香水/化妆品,Collaboration Fragrance / Cosmetics,Secondary Goods / Lifestyle Merchandise,角色联名香水(primaniacs)/口红/眼影盘,日亚/煤炉
衍生周边,日本特色/高价值中古,御守/神社联动/绘马,Omamori / Ema,Secondary Goods / Cultural Merchandise,日本宗教商品联动；动漫神社如神田明神,煤炉/日亚
衍生周边,日本特色/高价值中古,动画原稿/赛璐珞,Animation Cel / Genga,Secondary Goods / Investment Object,动画原画/赛璐珞片；高价值中古；雅虎拍卖常见,煤炉/雅虎拍卖
衍生周边,日本特色/高价值中古,设定资料/分镜稿,Setting Materials / Storyboard,Secondary Goods / Collectible,制作公司内部资料流出；硬核收藏,煤炉
衍生周边,数字/虚拟周边,游戏内购,In-game Purchase,Digital Goods / Virtual Merchandise,角色皮肤/武器皮肤/抽卡/月卡/通行证,—
衍生周边,数字/虚拟周边,平台虚拟道具,Virtual Item,Digital Goods / Virtual Merchandise,表情包/主题装扮/动态壁纸/头像框,—
衍生周边,数字/虚拟周边,直播/社群经济,Livestream Economy,Digital Goods / Virtual Merchandise,直播打赏/SC醒目留言/舰长/大航海,—
衍生周边,数字/虚拟周边,数字藏品,Digital Collectible / NFT,Digital Goods / Investment Object,区块链数字卡/NFT；投资+收藏属性,—
衍生周边,数字/虚拟周边,会员订阅,Subscription,Digital Goods / Access Right,流媒体大会员/Fanbox/Patreon赞助,—
衍生周边,展示收纳工具,卡册/卡套,Card Binder / Sleeve,Infrastructure / Display Tool,小卡/拍立得收纳；Z世代必备,日亚
衍生周边,展示收纳工具,卡砖,Card Brick,Infrastructure / Display Tool,亚克力展示框，展示单张高罕卡/签卡,日亚
衍生周边,展示收纳工具,吧唧套/保护套,Badge Cover,Infrastructure / Display Tool,防锈防刮，部分带装饰性,日亚
衍生周边,展示收纳工具,吧唧托,Rosette / Badge Decor,Infrastructure / Display Tool,丝带/蕾丝底座，手工消费热点,日亚
衍生周边,展示收纳工具,痛包,Ita-bag,Infrastructure / Display Tool,透明层展示谷子的包；wego/丝带痛/大肠痛,日亚
衍生周边,展示收纳工具,痛板/扎板,Ita-panel,Infrastructure / Display Tool,痛包内层排列底板，用于固定谷子,日亚
衍生周边,展示收纳工具,展示架/阶梯架,Display Stand,Infrastructure / Display Tool,桌面摆阵工具，多层阶梯展示,日亚
衍生周边,展示收纳工具,收纳盒/密封盒,Storage Box,Infrastructure / Display Tool,大量谷子仓储，配干燥剂防锈（南方刚需）,日亚
其他-非二次元,品牌物,中古服饰,Used Apparel,Residual / Non-otaku,无二次元IP的鞋服帽袜。不计入二次元主分析。,煤炉/日亚
其他-非二次元,品牌物,中古饰品,Used Accessories,Residual / Non-otaku,无IP首饰/胸针。不计入二次元主分析。,煤炉
其他-非二次元,品牌物,中古包袋,Used Bag,Residual / Non-otaku,无IP包袋。不计入二次元主分析。,煤炉
其他-非二次元,品牌物,铁路模型,N-gauge / Railway Model,Residual / Non-otaku,Nゲージ等电车模型，与二次元IP无关。不计入二次元主分析。,日亚
其他-非二次元,品牌物,书籍教材,Textbook / Dictionary,Residual / Non-otaku,日语教材、文学、词典、学术书。不计入二次元主分析。,日亚
其他-非二次元,品牌物,生活杂货,General Goods,Residual / Non-otaku,游泳圈、音乐盒等无IP日用。不计入二次元主分析。,日亚/煤炉
其他-非二次元,品牌物,相机用品,Camera Film / Parts,Residual / Non-otaku,胶卷、取景器配件。不计入二次元主分析。,日亚
其他-非二次元,品牌物,化妆品,Cosmetics (non-collab),Residual / Non-otaku,非角色联名化妆品（联名的走「联名香水/化妆品」）。不计入二次元主分析。,日亚
其他-非二次元,真人偶像,偶像写真,Idol Official Photo,Residual / Non-otaku,杰尼斯等真人偶像官方照片。二次元角色生写真走「声优/偶像周边-生写真」。不计入二次元主分析。,煤炉
其他-非二次元,品牌物,中古杂货,Uncertain Used Goods,Residual / Non-otaku,能看出不是二次元、但标题太短细类不清。不计入二次元主分析。,煤炉
其他-非二次元,品牌物,乐器,Musical Instrument,Residual / Non-otaku,吉他/贝斯/效果器/音响配件，与二次元IP无关。不计入二次元主分析。,煤炉/日亚
