规范中文名,规范日文名,IP来源,是否纳入日本主分析,匹配别名
Love Live!,ラブライブ!,日本,是,ラブライブ|Love Live!|LoveLive!|LOVELIVE|μ's|μ’s|Aqours|虹ヶ咲|ニジガク|虹ヶ咲学園スクールアイドル同好会|Liella|Liella!|ラブライブ!スーパースター|ラブライブ！スーパースター|幻日のヨハネ|幻日夜羽|高坂穂乃果|南ことり|園田海未|星空凛|小泉花陽|西木野真姫|絢瀬絵里|東條希|矢澤にこ|高海千歌|桜内梨子|松浦果南|黒澤ダイヤ|渡辺曜|津島善子|国木田花丸|小原鞠莉|黒澤ルビィ|中須かすみ|優木せつ菜|桜坂しずく|朝香果林|宮下愛|近江彼方|エマ・ヴェルデ|天王寺璃奈|三船栞子|ミア・テイラー|鐘嵐珠|高咲侑|澁谷かのん|唐可可|嵐千砂都|平安名すみれ|葉月恋|桜小路きな子|米女メイ|若菜四季|鬼塚夏美|ウィーン・マルガレーテ|鬼塚冬毬|ハナマル
某科学/魔法系列,とあるシリーズ,日本,是,とある科学の超電磁砲|とある魔術の禁書目録|レールガン|とあるシリーズ|超電磁砲|白井黒子|禁書目録|某系列|御坂美琴
游戏王,遊☆戯☆王,日本,是,遊☆戯☆王|遊戯王|YU-GI-OH|FNo.0 未来龍皇ホープ|アストログラフ・マジシャン|アロマセラフィーローズマリー|ドラゴンメイド・チェイム|崔嵬の地霊使いアウス|幽鬼うさぎ|朔夜しぐれ|機巧狐－宇迦之御魂稲荷|浮幽さくら|清冽の水霊使いエリア|灼熱の火霊使いヒータ|蒼翠の風霊使いウィン|銀河眼の光波竜
物语系列,物語シリーズ,日本,是,〈物語〉シリーズ|<物語>シリーズ|化物語|偽物語|傷物語|猫物語|恋物語|終物語|忍物語|物語シリーズ|物语系列|憑物語|忍野忍
凉宫春日系列,涼宮ハルヒ,日本,是,涼宮ハルヒ
网球王子,テニスの王子様,日本,是,新テニスの王子様|テニスの王子様|越前リョーマ|幸村精市
JOJO的奇妙冒险,ジョジョの奇妙な冒険,日本,是,ジョジョの奇妙な冒険|ジョジョ|岸辺露伴
圣斗士星矢,聖闘士星矢,日本,是,聖闘士星矢|セイントキャンサー|聖闘士聖衣
牙狼,牙狼〈GARO〉,日本,是,牙狼|GARO
东方Project,東方Project,日本,是,東方PROJECT|東方プロジェクト|<<東方>>|東方Project|东方Project|東方雅華乱舞トレーディングフィギュアコレクシ|東方茨歌仙|東方儚月抄～月のイナバと地上の因幡|東方ぬいぐるみシリーズ|東方LostWord|東方ソフビシリーズ15ノンスケールソフビフィ|東方ソフビ|Touhou Luna Nights|東方Luna Nights|蓬莱山輝夜|魂魄妖夢
鬼太郎,ゲゲゲの鬼太郎,日本,是,ゲゲゲの鬼太郎|ゲゲゲの謎|鬼太郎誕生|ゲゲ郎
幸运星,らき☆すた,日本,是,らき☆すた|らきすた|泉こなた
战国BASARA,戦国BASARA,日本,是,戦国BASARA
海贼王,ONE PIECE,日本,是,ONE PIECE|ワンピース
黑塔利亚,ヘタリア,日本,是,ヘタリア
舰队Collection,艦隊これくしょん,日本,是,艦隊これくしょん|艦これ|舰娘|Kancolle|Warspite|戦艦タ級|空母ヲ級|飛行場姫
超时空要塞,マクロス,日本,是,マクロス
魔卡少女樱,カードキャプターさくら,日本,是,カードキャプターさくら
偶像大师,アイドルマスター,日本,是,アイドルマスター|アイマス|デレマス|シャニマス|ミリオンライブ|桜井桃華|デレステ|SideM|THE IDOLM@STER|IDOLM@STER|アイドルマスター SideM|ぷちます!|ぷちます！|ぷちます
超级马力欧,スーパーマリオ,日本,是,スーパーマリオ|MARIO|マリオ
月姬,月姫,日本,是,真月譚 月姫|月姫|アルクェイド|月姬|MELTY BLOOD|MELTYBLOOD|メルティブラッド
三丽鸥,サンリオ,日本,是,サンリオ|ハローキティ|シナモロール|マイメロディ|クロミ
剑风传奇,ベルセルク,日本,是,ベルセルク
鬼灭之刃,鬼滅の刃,日本,是,鬼滅の刃|鬼灭之刃|竈門炭治郎|水の呼吸
美少女战士,美少女戦士セーラームーン,日本,是,美少女戦士セーラームーン|セーラームーン
铁甲小宝,ビーロボカブタック,日本,是,ビーロボカブタック|カブタック
女神异闻录,ペルソナ,日本,是,ペルソナ3|ペルソナ4|ペルソナ5|PERSONA|ペルソナ|女神异闻录|PERSONA3|Persona 3|ラヴェンツァ|岳羽ゆかり|春日部統志郎|望月綾時
轻音少女,けいおん!,日本,是,けいおん|K-ON!
侵略！乌贼娘,侵略!イカ娘,日本,是,侵略!イカ娘|侵略!?イカ娘|イカ娘
银魂,銀魂,日本,是,銀魂|Gintama
笨蛋测验召唤兽,バカとテストと召喚獣,日本,是,バカとテストと召喚獣|バカテス
赛马娘,ウマ娘 プリティーダービー,日本,是,ウマ娘
我的女神,ああっ女神さまっ,日本,是,ああっ女神さまっ
魔法使之夜,魔法使いの夜,日本,是,魔法使いの夜|蒼崎青子|久遠寺有珠
光之美少女,プリキュア,日本,是,プリキュア|羽衣ララ
Code Geass,コードギアス,日本,是,コードギアス
空之境界,空の境界,日本,是,空の境界|両儀式
塞尔达传说,ゼルダの伝説,日本,是,ゼルダの伝説|ゼルダ|塞尔达传说|リンクの冒険|BREATHOFTHEWILD|Breath of the Wild|THELEGENDOFZELDA|OCARINAOFTIME|The Legend of Zelda
黑执事,黒執事,日本,是,黒執事
LovePlus,ラブプラス,日本,是,ラブプラス|LOVEPLUS
英雄传说：轨迹系列,英雄伝説 軌跡シリーズ,日本,是,英雄伝説|空の軌跡|零の軌跡|碧の軌跡|閃の軌跡|黎の軌跡|創の軌跡
阿松,おそ松さん,日本,是,おそ松さん
排球少年,ハイキュー!!,日本,是,ハイキュー
少女与战车,ガールズ&パンツァー,日本,是,ガールズ&パンツァー|ガルパン
心跳回忆,ときめきメモリアル,日本,是,ときめきメモリアル
吉伊卡哇,ちいかわ,日本,是,ちいかわ
弹丸论破,ダンガンロンパ,日本,是,ダンガンロンパ
IDOLiSH7,アイドリッシュセブン,日本,是,アイドリッシュセブン|アイナナ
高智能方程式赛车,新世紀GPXサイバーフォーミュラ,日本,是,新世紀GPXサイバーフォーミュラ|サイバーフォーミュラ
秋之回忆,Memories Off,日本,是,MEMORIES OFF|メモリーズオフ|MemoriesOff|MemoriesOff2nd|白河ほたる|飛世巴|Memories Off|秋之回忆|メモリーズ オブ セカンド|メモリーズオブセカンド|メモオフ|メモオフ・セカンド
普罗米亚,プロメア,日本,是,プロメア
出包王女,To LOVEる,日本,是,TO LOVEる|とらぶる
最终幻想,ファイナルファンタジー,日本,是,ファイナルファンタジー|FINAL FANTASY|最终幻想|FFⅧ|FF8|ファイナルファンタジーVIII
如龙,龍が如く,日本,是,龍が如く
佐贺偶像是传奇,ゾンビランドサガ,日本,是,ゾンビランドサガ|水野愛|紺野純子
我的妹妹哪有这么可爱,俺の妹がこんなに可愛いわけがない,日本,是,俺の妹がこんなに可愛いわけがない|俺妹
旋风管家,ハヤテのごとく!,日本,是,ハヤテのごとく
五等分的新娘,五等分の花嫁,日本,是,五等分の花嫁
碧蓝幻想,グランブルーファンタジー,日本,是,グランブルーファンタジー|グラブル|碧蓝幻想|グランブルファンタジー|GRANBLUE FANTASY|Granblue Fantasy|GRANBLUE
火焰之纹章,FIRE EMBLEM,日本,是,ファイアーエムブレム|FIRE EMBLEM
彩虹社,にじさんじ,日本,是,にじさんじ|NIJISANJI|月ノ美兎
初音岛,D.C. ～ダ・カーポ～,日本,是,ダ・カーポ|D.C.~|D.C.～
偶像活动,アイカツ!,日本,是,アイカツ
天降之物,そらのおとしもの,日本,是,そらのおとしもの
碧蓝航线,アズールレーン,中国,否,アズールレーン|U-73|Z23|Z25|Z46|アドミラル・グラーフ・シュペー|インディアナポリス|エイジャックス|エセックス|クリーブランド|サウスダコタ|サフォーク|シリアス|セントルイス|セントー|ニューカッスル|ヘレナ|ホノルル|ポートランド|レキシントン|伊19|伊26|アズレン
Jack Jeanne,ジャックジャンヌ,日本,是,ジャックジャンヌ
电波女与青春男,電波女と青春男,日本,是,電波女と青春男
无限斯特拉托斯,IS〈インフィニット・ストラトス〉,日本,是,インフィニット・ストラトス|INFINITE STRATOS
刀剑神域,ソードアート・オンライン,日本,是,ソードアート・オンライン|SWORD ART ONLINE|SAO|刀剑神域
Hololive,ホロライブ,日本,是,ホロライブ|hololive|HOLOLIVE
龙珠,ドラゴンボール,日本,是,ドラゴンボール|DRAGON BALL
间谍过家家,SPY×FAMILY,日本,是,SPY×FAMILY|SPYxFAMILY|SPY FAMILY|间谍过家家|劇場版SPY×FAMILYCODE：White|SPY×FAMILYCODE：White|スパイファミリー
咒术回战,呪術廻戦,日本,是,呪術廻戦
哈利·波特,ハリー・ポッター,欧美,否,ハリー・ポッター|HARRY POTTER|Harry Potter
Rewrite,Rewrite,日本,是,REWRITE
不能只看脸,顔だけじゃ好きになりません,日本,是,顔だけじゃ好きになりません
黑岩射手,ブラック★ロックシューター,日本,是,ブラック★ロックシューター|BLACK★ROCK SHOOTER|ブラックロックシューター
Keroro军曹,ケロロ軍曹,日本,是,ケロロ軍曹|KERORO
GIVEN 被赠与的未来,ギヴン,日本,是,ギヴン
加速世界,アクセル・ワールド,日本,是,アクセル・ワールド|加速世界
胆大党,ダンダダン,日本,是,ダンダダン
头文字D,頭文字D,日本,是,頭文字D
请问您今天要来点兔子吗,ご注文はうさぎですか?,日本,是,ご注文はうさぎですか
四驱兄弟,爆走兄弟レッツ&ゴー!!,日本,是,爆走兄弟レッツ&ゴー
尼罗河女儿,王家の紋章,日本,是,王家の紋章
电光超人古立特系列,SSSS.GRIDMAN,日本,是,SSSS.GRIDMAN|SSSS.DYNAZENON|グリッドマン|ダイナゼノン|南夢芽
樱花大战,サクラ大戦,日本,是,サクラ大戦
灼眼的夏娜,灼眼のシャナ,日本,是,灼眼のシャナ|灼眼的夏娜
春之岚与怪兽,春の嵐とモンスター,日本,是,春の嵐とモンスター
文豪野犬,文豪ストレイドッグス,日本,是,文豪ストレイドッグス|文スト
怪物猎人,モンスターハンター,日本,是,モンスターハンター|MONSTER HUNTER
约会大作战,デート・ア・ライブ,日本,是,デート・ア・ライブ|约会大作战
进击的巨人,進撃の巨人,日本,是,進撃の巨人
关于邻家的天使大人,お隣の天使様,日本,是,お隣の天使様
魔动王,魔動王グランゾート,日本,是,魔動王グランゾート|グランゾート
犬夜叉,犬夜叉,日本,是,犬夜叉
蔚蓝档案,ブルーアーカイブ,韩国,否,ブルーアーカイブ|ブルアカ|Blue Archive
Little Busters!,リトルバスターズ!,日本,是,リトルバスターズ|クドわふたー|能美クドリャフカ
学生会的一己之见,生徒会の一存,日本,是,生徒会の一存
超级战队,スーパー戦隊,日本,是,スーパー戦隊|ゴーカイジャー|シンケンジャー|キョウリュウジャー|ゴーカイレッド
鬼灯的冷彻,鬼灯の冷徹,日本,是,鬼灯の冷徹
鲁邦三世,ルパン三世,日本,是,ルパン三世
钻石王牌,ダイヤのA,日本,是,ダイヤのA
约定的梦幻岛,約束のネバーランド,日本,是,約束のネバーランド
相爱相杀,殺し愛,日本,是,殺し愛
恋与深空,恋と深空,中国,否,恋と深空
南家三姐妹,みなみけ,日本,是,みなみけ
Re:从零开始的异世界生活,Re:ゼロから始める異世界生活,日本,是,Re:ゼロ|Reゼロ|リゼロ
葬送的芙莉莲,葬送のフリーレン,日本,是,葬送のフリーレン
我的朋友很少,僕は友達が少ない,日本,是,僕は友達が少ない|はがない
海猫鸣泣之时,うみねこのなく頃に,日本,是,うみねこのなく頃に
公主连结,プリンセスコネクト!,日本,是,プリンセスコネクト|プリコネ
孤独摇滚,ぼっち・ざ・ろっく!,日本,是,ぼっち・ざ・ろっく|ぼざろ
为美好的世界献上祝福,この素晴らしい世界に祝福を!,日本,是,この素晴らしい世界に祝福を|このすば
青春猪头少年,青春ブタ野郎,日本,是,青春ブタ野郎
刀剑乱舞,刀剣乱舞,日本,是,刀剣乱舞|とうらぶ|山姥切国広|山姥切長義|山姥切|三日月宗近
天元突破红莲螺岩,天元突破グレンラガン,日本,是,天元突破グレンラガン|グレンラガン
冰之城壁,氷の城壁,日本,是,氷の城壁
彻夜之歌,よふかしのうた,日本,是,よふかしのうた
黑子的篮球,黒子のバスケ,日本,是,黒子のバスケ
恋爱与选举与巧克力,恋と選挙とチョコレート,日本,是,恋と選挙とチョコレート
变形金刚,トランスフォーマー,跨国共同开发/欧美,否,トランスフォーマー|TRANSFORMERS
明日方舟,アークナイツ,中国,否,アークナイツ|ARKNIGHTS
Angel Beats!,Angel Beats!,日本,是,ANGEL BEATS
迪士尼扭曲仙境,ツイステッドワンダーランド,日本,是,ツイステッドワンダーランド|ツイステ
任天堂明星大乱斗,大乱闘スマッシュブラザーズ,日本,是,大乱闘スマッシュブラザーズ|スマッシュブラザーズ|スマブラ
机巧少女不会受伤,機巧少女は傷つかない,日本,是,機巧少女は傷つかない
无头骑士异闻录,デュラララ!!,日本,是,デュラララ
一拳超人,ワンパンマン,日本,是,ワンパンマン
境界线上的地平线,境界線上のホライゾン,日本,是,境界線上のホライゾン
绯弹的亚里亚,緋弾のアリア,日本,是,緋弾のアリア
我的英雄学院,僕のヒーローアカデミア,日本,是,僕のヒーローアカデミア|ヒロアカ
天才麻将少女,咲-Saki-,日本,是,咲-SAKI|咲-Saki-|天才麻将少女|咲 -Saki-|咲 -SAKI-
寒蝉鸣泣之时,ひぐらしのなく頃に,日本,是,ひぐらしのなく頃に
世界计划,プロジェクトセカイ,日本,是,プロジェクトセカイ|プロセカ
吸血鬼马上死,吸血鬼すぐ死ぬ,日本,是,吸血鬼すぐ死ぬ
阿滋漫画大王,あずまんが大王,日本,是,あずまんが
路人女主的养成方法,冴えない彼女の育てかた,日本,是,冴えない彼女の育てかた|冴えカノ
歌之王子殿下,うたの☆プリンスさまっ♪,日本,是,うたの☆プリンスさまっ|うたプリ
这个是僵尸吗,これはゾンビですか?,日本,是,これはゾンビですか
刀语,刀語,日本,是,刀語
妖狐×仆SS,妖狐×僕SS,日本,是,妖狐×僕SS|妖狐x僕SS
A3!,A3!,日本,是,A3!|七尾太一|佐久間咲也|兵頭九門|兵頭十座|卯木千景|御影密|摂津万里|月岡紬|有栖川誉|泉田莇|皆木綴|碓氷真澄|茅ヶ崎至
薄樱鬼,薄桜鬼,日本,是,薄桜鬼
火影忍者,NARUTO,日本,是,NARUTO|ナルト
苍蓝钢铁的琶音,蒼き鋼のアルペジオ,日本,是,蒼き鋼のアルペジオ
催眠麦克风,ヒプノシスマイク,日本,是,ヒプノシスマイク|ヒプマイ
魔道祖师,魔道祖師,中国,否,魔道祖師
大图书馆的牧羊人,大図書館の羊飼い,日本,是,大図書館の羊飼い
影之诗,シャドウバース,日本,是,シャドウバース|SHADOWVERSE
魔界战记,魔界戦記ディスガイア,日本,是,魔界戦記ディスガイア|ディスガイア
胜利女神：妮姬,勝利の女神:NIKKE,韩国,否,勝利の女神:NIKKE|NIKKE
电锯人,チェンソーマン,日本,是,チェンソーマン
噬血狂袭,ストライク・ザ・ブラッド,日本,是,ストライク・ザ・ブラッド|姫柊雪菜
偶像梦幻祭,あんさんぶるスターズ!,日本,是,あんさんぶるスターズ|あんスタ
Free!男子游泳部,Free!,日本,是,FREE!|FREE ETERNAL SUMMER
神枪少女,GUNSLINGER GIRL,日本,是,GUNSLINGER GIRL|GUNSLINGERGIRL|ヘンリエッタ
冰上的尤里,ユーリ!!! on ICE,日本,是,ユーリ!!! ON ICE
噬神者,ゴッドイーター,日本,是,ゴッドイーター|GOD EATER
十二国记,十二国記,日本,是,十二国記
死神,BLEACH,日本,是,BLEACH|ブリーチ
蓝色监狱,ブルーロック,日本,是,ブルーロック
阳炎Project,カゲロウプロジェクト,日本,是,カゲロウプロジェクト|カゲロウデイズ
元气少女缘结神,神様はじめました,日本,是,神様はじめました
崩坏系列,崩壊シリーズ,中国,否,崩壊3RD|崩壊:スターレイル|崩壊スターレイル|HONKAI
王国之心,キングダム ハーツ,日本,是,キングダム ハーツ|KINGDOM HEARTS
战国乙女,戦国乙女,日本,是,戦国乙女
文豪与炼金术师,文豪とアルケミスト,日本,是,文豪とアルケミスト|文アル
日常,日常,日本,是,「日常」
戏言系列,戯言シリーズ,日本,是,戯言シリーズ|クビキリサイクル|玖渚友
漆黑的子弹,ブラック・ブレット,日本,是,ブラック・ブレット|ブラックブレット|里見蓮太郎
三国志系列,三國志シリーズ,日本,是,三國志14|三国志14|三國志シリーズ|三国志系列|三國志13|三国志13
世界坦克博物馆,ワールドタンクミュージアム,日本,否,ワールドタンクミュージアム|ワールド タンク ミュージアム 対決編|ワールドタンクミュージアム対決編
世界的舰船,世界の艦船,日本,否,世界の艦船
世界的杰作机,世界の傑作機,日本,否,世界の傑作機
拖车收藏系列,ザ・トレーラーコレクション,日本,否,ザ・トレーラーコレクション|トレーラーコレクション
军事航空器系列,ミリタリーエアクラフトシリーズ,日本,否,ミリタリーエアクラフトシリーズ|ビッグバード
Wing Club,ウイングクラブ,日本,否,ウイングクラブ
二战战机收藏,WWIIウォーバードコレクション,日本,否,WWIIウォーバードコレクション|ウォーバードコレクション
自卫队特别涂装机收藏,自衛隊特別塗装機コレクション,日本,否,自衛隊特別塗装機コレクション
架空战记ProjektFighter,架空戦記ProjektFighter,日本,否,架空戦記ProjektFighter|ProjektFighter
水濑祈,水瀬いのり,日本,否,水瀬いのり|Inori Minase
茅野爱衣,茅野愛衣,日本,否,茅野愛衣
黑木光,黒木ひかり,日本,否,黒木ひかり
T-ara,T-ara,韩国,否,T-ara|ティアラ|ジヨン(T-ara)|NUMBER NINE|Lead the way|LA'booN|記憶~君がくれた道標|記憶～君がくれた道標|バニスタ!|Gossip Girls
Nintendo Labo,Nintendo Labo,日本,是,Nintendo Labo|ニンテンドーラボ|NintendoLabo|NintendoLaboToy-Con|NintendoLaboToy
方舟：生存进化,ARK: Survival Evolved,欧美,否,ARK: Survival Evolved|ARK：SurvivalEvolved|SurvivalEvolved
ARMS NOTE,ARMS NOTE,日本,是,ARMS NOTE|ロングレンジ・ジョシコウセイ
鬼屋魔影,Alone in the Dark,欧美,否,Alone in the Dark|アローンインザダーク
Davichi,Davichi,韩国,否,Davichi
Touch! Generations,Touch! Generations,日本,是,Touch! Generations|Touch!Generations
文学少女系列,“文学少女”シリーズ,日本,是,"文学少女|“文学少女”|天野遠子|劇場版”文学少女”|劇場版""文学少女"""
就算是哥哥只要有爱就没问题了对吧,お兄ちゃんだけど愛さえあれば関係ないよねっ,日本,是,お兄ちゃんだけど愛さえあれば関係ないよねっ|二階堂嵐
恶作剧之吻,イタズラなKiss,日本,是,イタズラなKiss|悪作劇之吻|恶作剧之吻
机翼套件收藏,ウイングキットコレクション,日本,否,ウイングキットコレクション|ウィングキットコレクション VS11|1/144ウィングキットコレクションVS13|ウィングキットコレクションVS11|ウィングキットコレクションVS13
丘比特寄生,キューピット・パラサイト,日本,是,キューピット・パラサイト|Cupid Parasite
装甲军系列,パンツァーコープ,日本,否,パンツァーコープ
Fortune Arterial,フォーチュンアテリアル,日本,是,フォーチュンアテリアル|Fortune Arterial|千堂瑛里華
直升机收藏系列,ヘリボーンコレクション,日本,否,ヘリボーンコレクション
重装武器,ヘヴィーオブジェクト,日本,是,ヘヴィーオブジェクト|Heavy Object|フローレイティア|フローレイティア=カピストラーノ
微型装甲,マイクロアーマー,日本,否,マイクロアーマー
午夜之鹰,ミッドナイトイーグル,日本,否,ミッドナイトイーグル
轻松熊,リラックマ,日本,是,リラックマ
少女是姐姐所爱,処女はお姉さまに恋してる,日本,是,処女はお姉さまに恋してる|宮小路瑞穂
双发机收藏,双発機コレクション,日本,否,双発機コレクション
古书店街的桥姬,古書店街の橋姫,日本,是,古書店街の橋姫|古書店街の橋姫々
奇想天外兵器,奇想天外兵器,日本,否,奇想天外兵器
架空战记ProjektFlieger,架空戦記ProjektFlieger,日本,否,架空戦記ProjektFlieger|ProjektFlieger
犬与剪刀的正确用法,犬とハサミは使いよう,日本,是,犬とハサミは使いよう|夏野霧姫
由良优拉,由良ゆら,日本,否,由良ゆら
真木柚布子,真木柚布子,日本,否,真木柚布子
邓丽君,テレサ・テン,跨国,否,テレサ・テン|鄧麗君|邓丽君|Teresa Teng|莫忘今宵
倖田来未,倖田來未,日本,否,倖田來未|倖田来未|Koda Kumi|KODA KUMI
特技飞行队收藏,アクロチームコレクション,日本,否,アクロチームコレクション|特技飞行队收藏
军事航空器系列,ミニタリーエアクラフトシリーズ,日本,否,ミニタリーエアクラフトシリーズ|军事航空器系列
スーパー44シリーズ,スーパー44シリーズ,日本,否,スーパー44シリーズ
Grim Guardians,Grim Guardians: Demon Purge,跨国,是,Grim Guardians: Demon Purge|Grim Guardians|GrimGuardians:DemonPurge
小魔女诺贝塔,Little Witch Nobeta,跨国,是,Little Witch Nobeta|小魔女诺贝塔|LittleWitchNobeta
Redemption Reapers,Redemption Reapers,跨国,是,Redemption Reapers|RedemptionReapers
Outcast,Outcast - A New Beginning,跨国,是,Outcast - A New Beginning|Outcast|Outcast-ANewBeginning|アウトキャスト|アウトキャスト 新たなる始まり|A New Beginning
Princess Waltz,PRINCESS WALTZ,日本,是,PRINCESS WALTZ|Princess Waltz|PRINCESSWALTZ
一起剪吧 斯尼帕,いっしょにチョキッと スニッパーズ,日本,是,いっしょにチョキッと スニッパーズ|一起剪吧 斯尼帕|いっしょにチョキッとスニッパーズ|スニッパーズ|Snipperclips|いっしょにチョキッとスニッパーズプラス
生化危机,バイオハザード,跨国,是,バイオハザード|生化危机|Resident Evil|BIOHAZARD
寻找者的目标,ファインダーの標的,日本,是,ファインダーの標的|寻找者的目标
ef,ef,日本,是,ef|ef - a fairy tale of the two|ef-a fairy tale of the two
火球,ファイアボール,日本,是,ファイアボール|火球|ファイアーボール
魔女之旅,魔女の旅々,日本,是,魔女の旅々|魔女之旅
超星神グランセイザー,超星神グランセイザー,日本,是,超星神グランセイザー
命运石之门,STEINS;GATE,日本,是,STEINS;GATE|命运石之门|シュタインズ・ゲート|Steins;Gate
D.Gray-man,D.Gray-man,日本,是,D.Gray-man
Big Bang Age,Big Bang Age,日本,是,Big Bang Age|BigBangAge
